jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
182	0.5	0.85	19.9866803278689	0.672323613	0	0	19.9866803278689	0.672323613	83.95310898	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	1	0.85	19.9866803278689	0.692522176	0	0	19.9866803278689	0.692522176	83.95310898	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	1.5	0.85	19.9866803278689	0.701477896	0	0	19.9866803278689	0.701477896	83.93977674	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	2	0.85	19.9866803278689	0.712930596	0	0	19.9866803278689	0.712930596	83.93977674	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	2.5	0.85	19.9866803278689	0.730109647	0	0	19.9866803278689	0.730109647	83.91311227	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	3	0.85	19.9866803278689	0.747288697	0	0	19.9866803278689	0.747288697	83.91311227	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	3.5	0.85	19.9866803278689	0.758741398	0	0	19.9866803278689	0.758741398	83.88644779	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	4	0.85	19.9866803278689	0.770194098	0	0	19.9866803278689	0.770194098	83.88644779	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	4.5	0.85	19.9866803278689	0.784509973	0	0	19.9866803278689	0.784509973	83.88644779	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	5	0.85	19.9866803278689	0.798825849	0	0	19.9866803278689	0.798825849	83.88644779	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	5.5	0.85	19.9866803278689	0.816004899	0	0	19.9866803278689	0.816004899	83.89978003	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	6	0.85	19.9866803278689	0.830320775	0	1.262922247	19.9866803278689	0.830320775	83.89978003	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	6.5	0.85	19.9866803278689	1.093406232	0	32.08018309	19.9866803278689	1.093406232	83.9264445	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	7	0.85	19.9866803278689	1.119502438	0	157.0959962	19.9866803278689	1.119502438	83.9264445	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	7.5	0.85	19.9866803278689	1.131224977	0	329.4913635	19.9866803278689	1.131224977	83.95310898	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	8	0.85	19.9866803278689	1.131224977	0	435.1841755	19.9866803278689	1.131224977	83.95310898	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	8.5	0.85	19.9866803278689	1.128294342	0	710.9422453	19.9866803278689	1.128294342	83.97977346	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	9	0.85	19.9866803278689	1.119578189	0	933.6347291	19.9866803278689	1.119578189	83.97977346	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	9.5	0.85	19.9866803278689	1.12539418	0	1137.14437	19.9866803278689	1.12539418	83.97977346	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	10	0.85	19.9866803278689	1.110920991	0	1320.081417	19.9866803278689	1.110920991	83.97977346	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	10.5	0.85	19.9866803278689	1.108035482	0	1485.881747	19.9866803278689	1.108035482	83.95310898	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	11	0.85	19.9866803278689	1.119578189	0	1632.101543	19.9866803278689	1.119578189	83.95310898	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	11.5	0.85	19.9866803278689	1.108035482	0	1762.184683	19.9866803278689	1.108035482	83.93977674	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	12	0.85	19.9866803278689	1.1138065	0	1862.174146	19.9866803278689	1.1138065	83.93977674	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	12.5	0.85	19.9866803278689	1.116692009	0	1943.839152	19.9866803278689	1.116692009	83.89978003	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	13	0.85	19.9866803278689	1.131225	0	1995.558989	19.9866803278689	1.131225	83.89978003	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	13.5	0.85	19.9866803278689	1.131225	0	2023.317357	19.9866803278689	1.131225	83.84645107	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	14	0.85	19.9866803278689	1.1138065	0	2027.340937	19.9866803278689	1.1138065	83.84645107	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	14.5	0.85	19.9866803278689	1.116692009	0	2003.689487	19.9866803278689	1.116692009	83.83311883	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	15	0.85	19.9866803278689	1.1138065	0	1954.488138	19.9866803278689	1.1138065	83.83311883	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	15.5	0.85	19.9866803278689	1.1138065	0	1860.639052	19.9866803278689	1.1138065	83.84645107	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
